id,nomsNumber,crn,createdBy,createdAt,submittedAt,state,statusUpdates,location,referringPrisonCode,applicationOrigin,bailHearingDate
5a297bf4-ff12-44a1-baf7-de29a8035eb8,A1234AX,DO16821,CAS2V2_NOMIS_REFERRER,"2022-12-13T15:00+01:00","","NOT_STARTED","0","","",prisonBail,2023-11-15T15:00+01:00
5046763f-cd41-44aa-b9f2-a894008532ae,A1234AX,DO16821,CAS2V2_NOMIS_REFERRER,"2023-01-10T10:00+01:00","","IN_PROGRESS","0","","",courtBail,2023-11-15T15:00+01:00
591548d7-73c9-4805-8ed5-8ac25febcad0,A1234AX,DO16821,CAS2V2_NOMIS_REFERRER,"2023-02-20T17:00+01:00","","IN_PROGRESS","0","","",homeDetentionCurfew,2023-11-15T15:00+01:00
2b0491bf-9b57-4e69-b0c6-79d3ca432e05,A1234AX,DO16821,CAS2V2_NOMIS_REFERRER,"2023-10-21T14:00+01:00","","IN_PROGRESS","0","","",prisonBail,2023-11-15T15:00+01:00
78a6a503-3b7f-4588-bdcc-2a7f37e09a3b,A1234AX,DO16821,CAS2V2_NOMIS_REFERRER,"2023-10-21T14:00+01:00","","IN_PROGRESS","0","","",courtBail,2023-11-15T15:00+01:00
8a2a61cd-c6e9-4aa7-99f8-bb4179d10fb0,A1234AX,DO16821,CAS2V2_NOMIS_REFERRER,"2023-11-13T15:00+01:00","2023-11-15T15:00+01:00","SUBMITTED","0","","ACI",homeDetentionCurfew,2023-11-15T15:00+01:00
57bddf4b-2b14-4e16-88ef-7c2139e04901,A1234AX,DO16821,CAS2V2_NOMIS_REFERRER,"2023-11-10T10:00+01:00","2023-11-12T10:00+01:00","SUBMITTED","0","","LEI",prisonBail,2023-11-15T15:00+01:00
9d39b241-72e9-47e2-8909-74af62206d2e,A1234AX,DO16821,CAS2V2_NOMIS_REFERRER,"2023-11-20T17:00+01:00","2023-11-22T17:00+01:00","SUBMITTED","0","","LEI",courtBail,2023-11-15T15:00+01:00
98033149-ddc0-453d-af3d-d0e3b8998db5,A1234AX,DO16821,CAS2V2_NOMIS_REFERRER,"2023-11-21T14:00+01:00","2023-11-23T14:00+01:00","SUBMITTED","0","","LEI",homeDetentionCurfew,2023-11-15T15:00+01:00
0b6c8b49-2823-4f2a-bdc7-f7af2ec5ffe0,A1234AX,DO16821,CAS2V2_NOMIS_REFERRER,"2023-11-21T14:00+01:00","2023-11-23T14:00+01:00","SUBMITTED","1","","LEI",homeDetentionCurfew,2023-11-15T15:00+01:00
